line,reported_value,sentence,status,source_table,index,method,scenario,estimator,source_value
101,89.99,"sequence-dependent indices behaved differently and the three methods were nearly indistinguishable: rx5day improved only from 34.52% to 25.52%, cdd from 47.90% ",resolved,Table 2,CWD,Raw CMIP6,,mean_absolute_bias_over_gauges_and_models,89.9889
101,35.06,"sequence-dependent indices behaved differently and the three methods were nearly indistinguishable: rx5day improved only from 34.52% to 25.52%, cdd from 47.90% ",resolved,Table 2,CWD,QM/EQM,,mean_absolute_bias_over_gauges_and_models,35.0474
105,28.65,"mean absolute bias in wet-day frequency was 28.65% for qm/eqm, 28.76% for detqm and 28.65% for qdm, against 67.22% for the raw models.",resolved,Table 3,wet_day_pct,QM/EQM,,mean_absolute_bias_over_gauges_and_models,28.6493
105,28.76,"mean absolute bias in wet-day frequency was 28.65% for qm/eqm, 28.76% for detqm and 28.65% for qdm, against 67.22% for the raw models.",resolved,Table 3,wet_day_pct,DetQM,,mean_absolute_bias_over_gauges_and_models,28.7584
105,28.65,"mean absolute bias in wet-day frequency was 28.65% for qm/eqm, 28.76% for detqm and 28.65% for qdm, against 67.22% for the raw models.",resolved,Table 3,wet_day_pct,QM/EQM,,mean_absolute_bias_over_gauges_and_models,28.6493
105,67.22,"mean absolute bias in wet-day frequency was 28.65% for qm/eqm, 28.76% for detqm and 28.65% for qdm, against 67.22% for the raw models.",resolved,Table 3,wet_day_pct,Raw CMIP6,,mean_absolute_bias_over_gauges_and_models,67.2157
105,15.90,"prcptot was 15.90%, 15.10% and 15.82% against 38.45%;",resolved,Table 3,PRCPTOT,QM/EQM,,mean_absolute_bias_over_gauges_and_models,15.8985
105,15.10,"prcptot was 15.90%, 15.10% and 15.82% against 38.45%;",resolved,Table 3,PRCPTOT,DetQM,,mean_absolute_bias_over_gauges_and_models,15.0987
105,15.82,"prcptot was 15.90%, 15.10% and 15.82% against 38.45%;",resolved,Table 3,PRCPTOT,QDM,,mean_absolute_bias_over_gauges_and_models,15.8207
105,38.45,"prcptot was 15.90%, 15.10% and 15.82% against 38.45%;",resolved,Table 3,PRCPTOT,Raw CMIP6,,mean_absolute_bias_over_gauges_and_models,38.4493
105,26.91,"sdii 26.91%, 26.97% and 27.37% against 44.08%.",resolved,Table 3,SDII,QM/EQM,,mean_absolute_bias_over_gauges_and_models,26.9080
105,26.97,"sdii 26.91%, 26.97% and 27.37% against 44.08%.",resolved,Table 3,SDII,DetQM,,mean_absolute_bias_over_gauges_and_models,26.9662
105,27.37,"sdii 26.91%, 26.97% and 27.37% against 44.08%.",resolved,Table 3,SDII,QDM,,mean_absolute_bias_over_gauges_and_models,27.3682
105,44.08,"sdii 26.91%, 26.97% and 27.37% against 44.08%.",resolved,Table 3,SDII,Raw CMIP6,,mean_absolute_bias_over_gauges_and_models,44.0778
107,24.17,"qm/eqm had the smallest error for q50 (24.17% against 26.52% for qdm), q95 (31.17% against 33.69%) and r95p (41.81% against 45.48%);",resolved,Table 3,q50,QM/EQM,,mean_absolute_bias_over_gauges_and_models,24.1750
107,26.52,"qm/eqm had the smallest error for q50 (24.17% against 26.52% for qdm), q95 (31.17% against 33.69%) and r95p (41.81% against 45.48%);",resolved,Table 3,q50,QDM,,mean_absolute_bias_over_gauges_and_models,26.5204
107,31.17,"qm/eqm had the smallest error for q50 (24.17% against 26.52% for qdm), q95 (31.17% against 33.69%) and r95p (41.81% against 45.48%);",resolved,Table 3,q95,QM/EQM,,mean_absolute_bias_over_gauges_and_models,31.1652
107,33.69,"qm/eqm had the smallest error for q50 (24.17% against 26.52% for qdm), q95 (31.17% against 33.69%) and r95p (41.81% against 45.48%);",resolved,Table 3,q95,QDM,,mean_absolute_bias_over_gauges_and_models,33.6887
107,41.81,"qm/eqm had the smallest error for q50 (24.17% against 26.52% for qdm), q95 (31.17% against 33.69%) and r95p (41.81% against 45.48%);",resolved,Table 3,R95p,QM/EQM,,mean_absolute_bias_over_gauges_and_models,41.8133
107,45.48,"qm/eqm had the smallest error for q50 (24.17% against 26.52% for qdm), q95 (31.17% against 33.69%) and r95p (41.81% against 45.48%);",resolved,Table 3,R95p,QDM,,mean_absolute_bias_over_gauges_and_models,45.4816
107,15.10,detqm for prcptot (15.10%) and q99 (27.39%);,resolved,Table 3,PRCPTOT,DetQM,,mean_absolute_bias_over_gauges_and_models,15.0987
107,27.39,detqm for prcptot (15.10%) and q99 (27.39%);,resolved,Table 3,q99,DetQM,,mean_absolute_bias_over_gauges_and_models,27.3917
107,26.85,qdm for rx1day (26.85% against 30.96% for qm/eqm) and rx5day (31.52% against 33.59%).,resolved,Table 3,Rx1day,QDM,,mean_absolute_bias_over_gauges_and_models,26.8459
107,30.96,qdm for rx1day (26.85% against 30.96% for qm/eqm) and rx5day (31.52% against 33.59%).,resolved,Table 3,Rx1day,QM/EQM,,mean_absolute_bias_over_gauges_and_models,30.9583
107,31.52,qdm for rx1day (26.85% against 30.96% for qm/eqm) and rx5day (31.52% against 33.59%).,resolved,Table 3,Rx5day,QDM,,mean_absolute_bias_over_gauges_and_models,31.5177
107,33.59,qdm for rx1day (26.85% against 30.96% for qm/eqm) and rx5day (31.52% against 33.59%).,resolved,Table 3,Rx5day,QM/EQM,,mean_absolute_bias_over_gauges_and_models,33.5925
107,51.47,cdd was improved by none of them: 51.47% to 51.98% after correction against 48.42% before it.,resolved,Table 3,CDD,QDM,,mean_absolute_bias_over_gauges_and_models,51.4724
107,51.98,cdd was improved by none of them: 51.47% to 51.98% after correction against 48.42% before it.,resolved,Table 3,CDD,DetQM,,mean_absolute_bias_over_gauges_and_models,51.9758
107,48.42,cdd was improved by none of them: 51.47% to 51.98% after correction against 48.42% before it.,resolved,Table 3,CDD,Raw CMIP6,,mean_absolute_bias_over_gauges_and_models,48.4172
111,+4.18,the largest absolute median pe anywhere in this group was +4.18% for q50 under qm/eqm in ssp2-4.5;,resolved,Table 4/5,q50,QM/EQM,SSP2-4.5,model_level_gauge_mean_then_ensemble_median,4.1774
111,+3.71,under ssp5-8.5 the largest was +3.71% for q99 under detqm.,resolved,Table 4/5,q99,DetQM,SSP5-8.5,model_level_gauge_mean_then_ensemble_median,3.7112
111,+0.75,across the three methods the median error for annual precipitation ranged from +0.75% to +1.27% in ssp2-4.5 and from -0.06% to +1.19% in ssp5-8.5.,resolved,Table 6,q99,,SSP5-8.5,two_factor_sum_of_squares,0.7434
111,+1.27,across the three methods the median error for annual precipitation ranged from +0.75% to +1.27% in ssp2-4.5 and from -0.06% to +1.19% in ssp5-8.5.,resolved,Table 4/5,PRCPTOT,QM/EQM,SSP2-4.5,model_level_gauge_mean_then_ensemble_median,1.2655
111,-0.06,across the three methods the median error for annual precipitation ranged from +0.75% to +1.27% in ssp2-4.5 and from -0.06% to +1.19% in ssp5-8.5.,resolved,Table 4/5,PRCPTOT,DetQM,SSP5-8.5,model_level_gauge_mean_then_ensemble_median,-0.0450
111,+1.19,across the three methods the median error for annual precipitation ranged from +0.75% to +1.27% in ssp2-4.5 and from -0.06% to +1.19% in ssp5-8.5.,resolved,Table 2,PRCPTOT,QM/EQM,,mean_absolute_bias_over_gauges_and_models,1.1862
113,-0.02,at q95 the smallest absolute error corresponded to a median pe of -0.02% under detqm in ssp2-4.5 and +0.75% under qdm in ssp5-8.5.,resolved,Table 4/5,q95,DetQM,SSP2-4.5,model_level_gauge_mean_then_ensemble_median,-0.0194
113,+0.75,at q95 the smallest absolute error corresponded to a median pe of -0.02% under detqm in ssp2-4.5 and +0.75% under qdm in ssp5-8.5.,resolved,Table 4/5,q95,QDM,SSP5-8.5,model_level_gauge_mean_then_ensemble_median,0.7580
113,+0.26,"at q99 qdm gave the smallest absolute error in both scenarios, with median pe of +0.26% and +0.03% against +1.95% and +3.60% for qm/eqm, whereas at q90 qm/eqm w",resolved,Table 4/5,q99,QDM,SSP2-4.5,model_level_gauge_mean_then_ensemble_median,0.2620
113,+0.03,"at q99 qdm gave the smallest absolute error in both scenarios, with median pe of +0.26% and +0.03% against +1.95% and +3.60% for qm/eqm, whereas at q90 qm/eqm w",resolved,Table 4/5,q99,QDM,SSP5-8.5,model_level_gauge_mean_then_ensemble_median,0.0345
113,+1.95,"at q99 qdm gave the smallest absolute error in both scenarios, with median pe of +0.26% and +0.03% against +1.95% and +3.60% for qm/eqm, whereas at q90 qm/eqm w",resolved,Table 4/5,q99,QM/EQM,SSP2-4.5,model_level_gauge_mean_then_ensemble_median,1.9547
113,+3.60,"at q99 qdm gave the smallest absolute error in both scenarios, with median pe of +0.26% and +0.03% against +1.95% and +3.60% for qm/eqm, whereas at q90 qm/eqm w",resolved,Table 4/5,q99,QM/EQM,SSP5-8.5,model_level_gauge_mean_then_ensemble_median,3.6039
117,+15.54,"the largest median error of the study was +15.54% for the frequency of days above 50 mm under qm/eqm in ssp2-4.5, against +6.60% for detqm and +14.76% for qdm;",resolved,Table 4/5,R50mm,QM/EQM,SSP2-4.5,model_level_gauge_mean_then_ensemble_median,15.5375
117,+6.60,"the largest median error of the study was +15.54% for the frequency of days above 50 mm under qm/eqm in ssp2-4.5, against +6.60% for detqm and +14.76% for qdm;",resolved,Table 4/5,R50mm,DetQM,SSP2-4.5,model_level_gauge_mean_then_ensemble_median,6.6022
117,+14.76,"the largest median error of the study was +15.54% for the frequency of days above 50 mm under qm/eqm in ssp2-4.5, against +6.60% for detqm and +14.76% for qdm;",resolved,Table 4/5,R50mm,QDM,SSP2-4.5,model_level_gauge_mean_then_ensemble_median,14.7615
117,+5.29,"in ssp5-8.5 the same index gave +5.29%, +9.67% and +8.38%.",resolved,Table 4/5,R50mm,QM/EQM,SSP5-8.5,model_level_gauge_mean_then_ensemble_median,5.2891
117,+9.67,"in ssp5-8.5 the same index gave +5.29%, +9.67% and +8.38%.",resolved,Table 4/5,R50mm,DetQM,SSP5-8.5,model_level_gauge_mean_then_ensemble_median,9.6744
117,+8.38,"in ssp5-8.5 the same index gave +5.29%, +9.67% and +8.38%.",resolved,Table 4/5,R50mm,QDM,SSP5-8.5,model_level_gauge_mean_then_ensemble_median,8.3785
117,-9.21,"for r99p the medians were -9.21%, -5.76% and -5.95% in ssp2-4.5 and +13.86%, +4.75% and -5.98% in ssp5-8.5.",resolved,Table 4/5,R99p,QM/EQM,SSP2-4.5,model_level_gauge_mean_then_ensemble_median,-9.2056
117,-5.76,"for r99p the medians were -9.21%, -5.76% and -5.95% in ssp2-4.5 and +13.86%, +4.75% and -5.98% in ssp5-8.5.",resolved,Table 4/5,R99p,DetQM,SSP2-4.5,model_level_gauge_mean_then_ensemble_median,-5.7639
117,-5.95,"for r99p the medians were -9.21%, -5.76% and -5.95% in ssp2-4.5 and +13.86%, +4.75% and -5.98% in ssp5-8.5.",resolved,Table 4/5,R99p,QDM,SSP2-4.5,model_level_gauge_mean_then_ensemble_median,-5.9474
117,+13.86,"for r99p the medians were -9.21%, -5.76% and -5.95% in ssp2-4.5 and +13.86%, +4.75% and -5.98% in ssp5-8.5.",resolved,Table 4/5,R99p,QM/EQM,SSP5-8.5,model_level_gauge_mean_then_ensemble_median,13.8623
117,+4.75,"for r99p the medians were -9.21%, -5.76% and -5.95% in ssp2-4.5 and +13.86%, +4.75% and -5.98% in ssp5-8.5.",resolved,Table 4/5,R99p,DetQM,SSP5-8.5,model_level_gauge_mean_then_ensemble_median,4.7469
117,-5.98,"for r99p the medians were -9.21%, -5.76% and -5.95% in ssp2-4.5 and +13.86%, +4.75% and -5.98% in ssp5-8.5.",resolved,Table 4/5,R99p,QDM,SSP5-8.5,model_level_gauge_mean_then_ensemble_median,-5.9776
127,14.25,"over the validation period the mean absolute bias in the transition probability p(wet | wet) was 14.25% for qm/eqm, 14.32% for detqm and 14.40% for qdm against ",resolved,Section 3.5,P_wet_given_wet,QM/EQM,,mean_absolute_bias_over_gauges_and_models,14.2536
127,14.32,"over the validation period the mean absolute bias in the transition probability p(wet | wet) was 14.25% for qm/eqm, 14.32% for detqm and 14.40% for qdm against ",resolved,Section 3.5,P_wet_given_wet,DetQM,,mean_absolute_bias_over_gauges_and_models,14.3235
127,14.40,"over the validation period the mean absolute bias in the transition probability p(wet | wet) was 14.25% for qm/eqm, 14.32% for detqm and 14.40% for qdm against ",resolved,Section 3.5,P_wet_given_wet,QDM,,mean_absolute_bias_over_gauges_and_models,14.4007
127,26.99,"over the validation period the mean absolute bias in the transition probability p(wet | wet) was 14.25% for qm/eqm, 14.32% for detqm and 14.40% for qdm against ",resolved,Section 3.5,P_wet_given_wet,Raw CMIP6,,mean_absolute_bias_over_gauges_and_models,26.9923
127,29.79,"the lag-1 autocorrelation of occurrence was not improved by any method, at 29.79% to 29.81% against 28.43% before correction, and mean dry-spell length remained",resolved,Section 3.5,acf1_occurrence,Raw CMIP6,,mean_absolute_bias_over_gauges_and_models,29.7804
127,29.81,"the lag-1 autocorrelation of occurrence was not improved by any method, at 29.79% to 29.81% against 28.43% before correction, and mean dry-spell length remained",resolved,Section 3.5,acf1_occurrence,DetQM,,mean_absolute_bias_over_gauges_and_models,29.8109
127,28.43,"the lag-1 autocorrelation of occurrence was not improved by any method, at 29.79% to 29.81% against 28.43% before correction, and mean dry-spell length remained",resolved,Section 3.5,acf1_occurrence,Raw CMIP6,,mean_absolute_bias_over_gauges_and_models,28.4313
127,35.66,"the lag-1 autocorrelation of occurrence was not improved by any method, at 29.79% to 29.81% against 28.43% before correction, and mean dry-spell length remained",resolved,Section 3.5,mean_dry_spell,QM/EQM,,mean_absolute_bias_over_gauges_and_models,35.6572
127,36.43,"the lag-1 autocorrelation of occurrence was not improved by any method, at 29.79% to 29.81% against 28.43% before correction, and mean dry-spell length remained",resolved,Section 3.5,mean_dry_spell,QDM,,mean_absolute_bias_over_gauges_and_models,36.4251
127,54.26,"the lag-1 autocorrelation of occurrence was not improved by any method, at 29.79% to 29.81% against 28.43% before correction, and mean dry-spell length remained",resolved,Section 3.5,mean_dry_spell,Raw CMIP6,,mean_absolute_bias_over_gauges_and_models,54.2551
129,-3.32,"signal-preservation errors for the two persistence indices are correspondingly small and method-insensitive, spanning -3.32% to +2.61% for maximum consecutive d",resolved,Table 4/5,CDD,QDM,SSP2-4.5,model_level_gauge_mean_then_ensemble_median,-3.3207
129,+2.61,"signal-preservation errors for the two persistence indices are correspondingly small and method-insensitive, spanning -3.32% to +2.61% for maximum consecutive d",resolved,Table 4/5,CDD,DetQM,SSP5-8.5,model_level_gauge_mean_then_ensemble_median,2.6120
129,-1.97,"signal-preservation errors for the two persistence indices are correspondingly small and method-insensitive, spanning -3.32% to +2.61% for maximum consecutive d",resolved,Table 4/5,CWD,QM/EQM,SSP2-4.5,model_level_gauge_mean_then_ensemble_median,-1.9649
129,+2.80,"signal-preservation errors for the two persistence indices are correspondingly small and method-insensitive, spanning -3.32% to +2.61% for maximum consecutive d",resolved,Table 4/5,CWD,QM/EQM,SSP2-4.5,model_level_gauge_mean_then_ensemble_median,2.7996
133,5.4,"it reached at most 5.4% of the total sum of squares, for q50 under ssp2-4.5, and at most 1.0% under ssp5-8.5, for r95p.",resolved,Table 6,q50,,SSP2-4.5,two_factor_sum_of_squares,5.4412
133,1.0,"it reached at most 5.4% of the total sum of squares, for q50 under ssp2-4.5, and at most 1.0% under ssp5-8.5, for r95p.",design constant,Methods,,,,,1.0
133,9.5,the gcm main effect spanned 9.5% to 82.3% under ssp2-4.5 and 25.4% to 83.5% under ssp5-8.5.,resolved,Table 6,all indices,,SSP2-4.5,two_factor_sum_of_squares,9.5274
133,82.3,the gcm main effect spanned 9.5% to 82.3% under ssp2-4.5 and 25.4% to 83.5% under ssp5-8.5.,resolved,Table 6,all indices,,SSP2-4.5,two_factor_sum_of_squares,82.2580
133,25.4,the gcm main effect spanned 9.5% to 82.3% under ssp2-4.5 and 25.4% to 83.5% under ssp5-8.5.,resolved,Table 6,all indices,,SSP5-8.5,two_factor_sum_of_squares,25.4340
133,83.5,the gcm main effect spanned 9.5% to 82.3% under ssp2-4.5 and 25.4% to 83.5% under ssp5-8.5.,resolved,Table 6,all indices,,SSP5-8.5,two_factor_sum_of_squares,83.5423
135,17.6,"the residual term was large throughout, from 17.6% to 90.2% under ssp2-4.5 and 16.3% to 74.5% under ssp5-8.5, and largest for the same indices on which the meth",resolved,Table 6,all indices,,SSP2-4.5,two_factor_sum_of_squares,17.6088
135,90.2,"the residual term was large throughout, from 17.6% to 90.2% under ssp2-4.5 and 16.3% to 74.5% under ssp5-8.5, and largest for the same indices on which the meth",resolved,Table 6,R20mm,,SSP2-4.5,two_factor_sum_of_squares,90.1953
135,16.3,"the residual term was large throughout, from 17.6% to 90.2% under ssp2-4.5 and 16.3% to 74.5% under ssp5-8.5, and largest for the same indices on which the meth",resolved,Table 6,all indices,,SSP5-8.5,two_factor_sum_of_squares,16.2872
135,74.5,"the residual term was large throughout, from 17.6% to 90.2% under ssp2-4.5 and 16.3% to 74.5% under ssp5-8.5, and largest for the same indices on which the meth",resolved,Table 6,R50mm,,SSP5-8.5,two_factor_sum_of_squares,74.5298
135,90.2,"the residual term was large throughout, from 17.6% to 90.2% under ssp2-4.5 and 16.3% to 74.5% under ssp5-8.5, and largest for the same indices on which the meth",resolved,Table 6,R20mm,,SSP2-4.5,two_factor_sum_of_squares,90.1953
135,74.5,"the residual term was large throughout, from 17.6% to 90.2% under ssp2-4.5 and 16.3% to 74.5% under ssp5-8.5, and largest for the same indices on which the meth",resolved,Table 6,R50mm,,SSP5-8.5,two_factor_sum_of_squares,74.5298
151,4.18,"for the bulk statistics and direct quantiles every median error lies within 4.18% of zero, and the spread between best and worst method is 0.52 and 1.25 percent",resolved,Table 4/5,bulk and quantiles,,SSP2-4.5,model_level_gauge_mean_then_ensemble_median,4.1774
155,+15.54,the picture changes for indices computed from the corrected sequence rather than read from the corrected distribution: median errors reach +15.54% for the frequ,resolved,Table 4/5,R50mm,QM/EQM,SSP2-4.5,model_level_gauge_mean_then_ensemble_median,15.5375
