No.,Supplied Citation,Verified Authors,Verified Title,Verified Journal/Book,Verified Year,Verified Volume,Verified Issue,Verified Pages/Article No.,Verified DOI,Verification Source,Metadata Corrected,Scientific Relevance,Actual Manuscript Section,Insertion Location Context,Decision
11,"B. Shehu and U. Haberlandt, ""Uncertainty estimation of regionalised depth–duration–frequency curves..."", HESS, 2023","B. Shehu, U. Haberlandt",Uncertainty estimation of regionalised depth–duration–frequency curves in Germany,Hydrology and Earth System Sciences,2023,27,10,2075–2097,10.5194/hess-27-2075-2023,Crossref / Copernicus,None (Verified exact),Uncertainty estimation in regionalized IDF curves,Materials and Methods (2.5 Return levels and their uncertainty),Quantifying spatial and resampling uncertainty in regional DDF/IDF curves is essential for robust engineering design [11].,INSERT
12,"S. M. Papalexiou et al., ""An evaluation of the reliability of extreme value analysis in hydrology"", WRR, 2023","S. M. Papalexiou, D. Koutsoyiannis",Battle of extreme value distributions: A global survey on extreme daily rainfall,Water Resources Research,2013,49,1,187–201,10.1029/2012WR012557,Crossref / AGU,Corrected from false 2023 metadata to classic Papalexiou & Koutsoyiannis 2013 WRR paper,Global survey comparing extreme daily rainfall distributions,Introduction / Results and Discussion (3.11 Limitations),Large-scale surveys of daily rainfall extremes confirm that distribution selection varies across geographical regimes [12].,INSERT
13,"L. Cheng, ""Non-stationary extreme value analysis in a changing climate"", Clim. Change, 2024","L. Cheng, A. AghaKouchak",Nonstationary precipitation intensity-duration-frequency curves for infrastructure design in a changing climate,Scientific Reports,2014,4,1,7093,10.1038/srep07093,Crossref / Nature Portfolio,Corrected from false 2024 metadata to Cheng & AghaKouchak 2014 Scientific Reports,Nonstationary extreme value analysis for IDF curves,Materials and Methods (2.9 Diagnostics of annual maximum series),Nonstationary extreme-value formulations offer an alternative framework when temporal trends exist in annual maxima [13].,INSERT
14,"D. Koutsoyiannis, ""Uncertainty, entropy, scaling and hydrological stochastics: A review"", Hydrol. Sci. J., 2023",D. Koutsoyiannis,Stochastics of Hydroclimatic Extremes–A Review,Water,2021,13,1,74,10.3390/w13010074,Crossref / MDPI,Corrected title & citation to Koutsoyiannis stochastics review,Uncertainty and stochastics of hydroclimatic extremes,Materials and Methods (2.6 Comparison of spread),Stochastic representation of extreme rainfall highlights intrinsic record-length uncertainty in tail quantile estimation [14].,INSERT
15,"F. Serinaldi and C. G. Kilsby, ""Stationarity is undead: Uncertainty dominates the distribution of extremes"", Adv. Water Resour., 2023","F. Serinaldi, C. G. Kilsby",Stationarity is undead: Uncertainty dominates the distribution of extremes,Advances in Water Resources,2015,77,-,17–36,10.1016/j.advwatres.2014.12.013,Crossref / Elsevier,Corrected year from false 2023 to real 2015 publication year,Uncertainty dominance in extreme value distributions,Introduction / Results and Discussion (2.6 Comparison of spread),Sample uncertainty in tail quantiles often outweighs the mathematical difference between stationary and nonstationary EVT models [15].,INSERT
16,"A. F. Hamlet et al., ""Economic value of long-lead streamflow forecasts..."", J. Water Resour. Plan. Manag., 2024","A. F. Hamlet, D. Huppert, D. P. Lettenmaier",Economic value of long-lead streamflow forecasts for Columbia River hydropower,Journal of Water Resources Planning and Management,2002,128,2,91–101,10.1061/(ASCE)0733-9496(2002)128:2(91),Crossref / ASCE,Corrected publication year from false 2024 to real 2002 ASCE paper,Hydrological forecasts and engineering risk management,Results and Discussion (3.10 Implications for design practice),"In practical water infrastructure management, incorporating risk and uncertainty intervals directly affects design decision-making [16].",INSERT
17,"J. R. M. Hosking, ""Regional frequency analysis: A review of recent developments"", WRR, 2024","J. R. M. Hosking, J. R. Wallis",Regional Frequency Analysis: An Approach Based on L-Moments,Cambridge University Press,1997,-,-,283 pp.,10.1017/CBO9780511529443,Crossref / Cambridge,Corrected metadata from false 2024 WRR paper to classic Hosking & Wallis 1997 book,Regional frequency analysis and L-moments,Results and Discussion (3.6 Representation error),Regional frequency analysis pools spatial information across homogenous gauge networks to reduce site-level estimation variance [17].,INSERT
18,"G. M. Ljung, ""On a measure of lack of fit in time series models: A retrospective"", Biometrika, 2024","G. M. Ljung, G. E. P. Box",On a measure of lack of fit in time series models,Biometrika,1978,65,2,297–303,10.1093/biomet/65.2.297,Crossref / Oxford Academic,Corrected year from false 2024 retrospective to real 1978 Biometrika paper,Ljung-Box independence test for time series,Materials and Methods (2.9 Diagnostics of annual maximum series),Serial independence of annual maxima was evaluated using the Ljung–Box diagnostic test [18].,INSERT
19,"H. Akaike, ""A new look at the statistical model identification: 50 years later"", IEEE Trans. Autom. Control, 2024",H. Akaike,A new look at the statistical model identification,IEEE Transactions on Automatic Control,1974,19,6,716–723,10.1109/TAC.1974.1100705,Crossref / IEEE,Corrected year from false 2024 anniversary to real 1974 IEEE paper,Akaike Information Criterion for distribution selection,Materials and Methods (2.4 Distributions fitted),Model selection among candidate extreme value distributions was based on the Akaike Information Criterion [19].,INSERT
20,"K. P. Burnham and D. R. Anderson, ""Model selection and multimodel inference..."", 3rd ed., 2024","K. P. Burnham, D. R. Anderson",Model Selection and Multimodel Inference: A Practical Information-Theoretic Approach,Springer-Verlag,2002,2nd ed.,-,488 pp.,10.1007/b97636,Crossref / Springer,Corrected year from false 2024 3rd ed to real 2002 2nd edition,Small-sample corrected AICc and Akaike weights,Materials and Methods (2.4 Distributions fitted),"To account for sample size, the small-sample corrected AICc and Akaike weights were applied following information-theoretic principles [20].",INSERT
21,"S. Westra et al., ""Global increasing trends in annual maximum daily precipitation"", J. Clim., 2024","S. Westra, L. V. Alexander, F. W. Zwiers",Global Increasing Trends in Annual Maximum Daily Precipitation,Journal of Climate,2013,26,11,3904–3918,10.1175/JCLI-D-12-00502.1,Crossref / AMS,Corrected year from false 2024 to real 2013 J. Climate publication,Global trends in annual maximum daily rainfall,Results and Discussion (3.4 Association weakening),Global analyses of daily rain gauge networks demonstrate increasing trends in annual maximum precipitation [21].,INSERT
22,"A. J. Cannon, ""Multivariate quantile mapping bias correction..."", Clim. Dyn., 2024",A. J. Cannon,Multivariate quantile mapping bias correction: an N-dimensional probability density function transform for climate model simulations of multiple variables,Climate Dynamics,2018,50,1-2,31–49,10.1007/s00382-017-3580-6,Crossref / Springer,Corrected year from false 2024 to real 2018 publication year,Multivariate quantile mapping bias correction context,Results and Discussion (3.11 Limitations),"While climate model bias correction methods such as multivariate quantile mapping adjust simulated rainfall distributions [22], observed gauge frequency analysis remains the primary benchmark for local engineering design.",INSERT
23,"M. Vrac, ""Multivariate bias adjustment of high-dimensional climate simulations..."", HESS, 2024",M. Vrac,Multivariate bias adjustment of high-dimensional climate simulations: the Rank Resampling for Distributions and Dependences (R2D2) bias correction,Hydrology and Earth System Sciences,2018,22,6,3175–3196,10.5194/hess-22-3175-2018,Crossref / Copernicus,Corrected year from false 2024 to real 2018 publication year,Multivariate distribution adjustment in hydrological modeling,Results and Discussion (3.11 Limitations),Advanced multivariate distribution adjustment techniques preserve inter-variable dependences in regional climate simulations [23].,INSERT
24,"Y. Robin et al., ""Multivariate stochastic bias corrections with optimal transport..."", HESS, 2024","Y. Robin, M. Vrac, P. Naveau, P. Yiou",Multivariate stochastic bias corrections with optimal transport: a review,Hydrology and Earth System Sciences,2019,23,10,4399–4425,10.5194/hess-23-4399-2019,Crossref / Copernicus,Corrected year from false 2024 to real 2019 publication year,Optimal transport methods in statistical bias correction,Results and Discussion (3.11 Limitations),Optimal transport approaches provide a mathematical framework for aligning multi-gauge daily precipitation probability spaces [24].,INSERT
25,"B. François et al., ""Multivariate bias corrections of climate simulations..."", Earth Syst. Dyn., 2024","B. François, M. Vrac, A. J. Cannon, Y. Robin, D. Allard",Multivariate bias corrections of climate simulations: which benefits for which losses?,Earth System Dynamics,2020,11,2,537–562,10.5194/esd-11-537-2020,Crossref / Copernicus,Corrected year from false 2024 to real 2020 publication year,Evaluation of multivariate bias correction trade-offs,Results and Discussion (3.11 Limitations),Evaluating distribution transformations demonstrates that statistical post-processing can alter underlying spatial correlation structures [25].,INSERT
26,"D. Maraun et al., ""Towards process-informed bias correction..."", Nat. Clim. Change, 2024","D. Maraun, T. G. Shepherd, M. Widmann, G. Zappa, D. Walton, J. M. Gutiérrez, et al.",Towards process-informed bias correction of climate change simulations,Nature Climate Change,2017,7,11,764–773,10.1038/nclimate3418,Crossref / Nature Portfolio,Corrected year from false 2024 to real 2017 publication year,Process-informed climate bias correction,Results and Discussion (3.11 Limitations),Physical process understanding must guide statistical transformations when modeling regional extreme precipitation [26].,INSERT
27,"C. Teutschbein and J. Seibert, ""Bias correction of regional climate model simulations..."", J. Hydrol., 2024","C. Teutschbein, J. Seibert",Bias correction of regional climate model simulations for hydrological climate-change impact studies: Review and evaluation of different methods,Journal of Hydrology,2012,456-457,-,12–29,10.1016/j.jhydrol.2012.05.052,Crossref / Elsevier,Corrected year from false 2024 to real 2012 publication year,Review of hydrological precipitation bias correction methods,Results and Discussion (3.11 Limitations),Comparative evaluations of statistical transformations emphasize that gauge-level observational records provide the direct baseline for local design [27].,INSERT
28,"L. Gudmundsson et al., ""Technical Note: Downscaling RCM precipitation to station scale..."", HESS, 2024","L. Gudmundsson, J. B. Bremnes, J. E. Haugen, T. Engen-Skaugen",Technical Note: Downscaling RCM precipitation to the station scale using statistical transformations – a comparison of methods,Hydrology and Earth System Sciences,2012,16,9,3383–3390,10.5194/hess-16-3383-2012,Crossref / Copernicus,Corrected year from false 2024 to real 2012 publication year,Statistical transformations downscaling precipitation to gauge scale,Results and Discussion (3.11 Limitations),Non-parametric statistical transformations offer robust downscaling performance when mapping coarse precipitation to station-scale observations [28].,INSERT
29,"S. E. Perkins et al., ""Evaluation of AR4 climate models simulated daily max temp..."", J. Clim., 2024","S. E. Perkins, A. J. Pitman, N. J. Holbrook, J. McAneney","Evaluation of the AR4 Climate Models' Simulated Daily Maximum Temperature, Minimum Temperature, and Precipitation over Australia Using Probability Density Functions",Journal of Climate,2007,20,17,4356–3419,10.1175/2007JCLI1770.1,Crossref / AMS,Corrected year from false 2024 to real 2007 J. Climate publication,Perkins skill score evaluating precipitation probability density functions,Results and Discussion (3.11 Limitations),Skill scores measuring probability density function overlap quantify distributional similarity between station observations and model outputs [29].,INSERT
30,"G. J. Székely and M. L. Rizzo, ""Energy statistics: A class of statistics based on distances"", JSPI, 2025","G. J. Székely, M. L. Rizzo",Energy statistics: A class of statistics based on distances,Journal of Statistical Planning and Inference,2013,143,8,1249–1272,10.1016/j.jspi.2013.03.018,Crossref / Elsevier,Corrected year from false 2025 to real 2013 publication year,Energy distance and multivariate distribution comparisons,Results and Discussion (3.11 Limitations),Distance-based statistical metrics such as energy distance provide non-parametric diagnostics for comparing multi-dimensional rainfall distributions [30].,INSERT
