season_id,climate_year,season_type,season_start,season_end,ENSO_phase,ONI_mean,ONI_min,ONI_max,n_months,el_nino_months,la_nina_months,classification_rule
2002_2003_HOT_DRY,2002,HOT_DRY,2002-11-01,2003-04-30,EL_NINO,0.723,-0.04,1.31,6,4,0,Episode_Overlap_>=4_months
2003_RAIN,2003,RAINY,2003-05-01,2003-10-31,NEUTRAL,0.07,-0.26,0.29,6,0,0,Episode_Overlap_>=4_months
2003_2004_HOT_DRY,2003,HOT_DRY,2003-11-01,2004-04-30,NEUTRAL,0.297,0.17,0.37,6,0,0,Episode_Overlap_>=4_months
2004_RAIN,2004,RAINY,2004-05-01,2004-10-31,TRANSITION_UNCLASSIFIED,0.488,0.17,0.7,6,3,0,Episode_Overlap_>=4_months
2004_2005_HOT_DRY,2004,HOT_DRY,2004-11-01,2005-04-30,EL_NINO,0.575,0.43,0.69,6,4,0,Episode_Overlap_>=4_months
2005_RAIN,2005,RAINY,2005-05-01,2005-10-31,NEUTRAL,-0.033,-0.29,0.29,6,0,0,Episode_Overlap_>=4_months
2005_2006_HOT_DRY,2005,HOT_DRY,2005-11-01,2006-04-30,LA_NINA,-0.662,-0.85,-0.37,6,0,5,Episode_Overlap_>=4_months
2006_RAIN,2006,RAINY,2006-05-01,2006-10-31,TRANSITION_UNCLASSIFIED,0.257,-0.14,0.77,6,2,0,Episode_Overlap_>=4_months
2006_2007_HOT_DRY,2006,HOT_DRY,2006-11-01,2007-04-30,TRANSITION_UNCLASSIFIED,0.387,-0.32,0.94,6,3,0,Episode_Overlap_>=4_months
2007_RAIN,2007,RAINY,2007-05-01,2007-10-31,LA_NINA,-0.772,-1.34,-0.38,6,0,4,Episode_Overlap_>=4_months
2007_2008_HOT_DRY,2007,HOT_DRY,2007-11-01,2008-04-30,LA_NINA,-1.427,-1.64,-1.01,6,0,6,Episode_Overlap_>=4_months
2008_RAIN,2008,RAINY,2008-05-01,2008-10-31,TRANSITION_UNCLASSIFIED,-0.44,-0.84,-0.23,6,0,2,Episode_Overlap_>=4_months
2008_2009_HOT_DRY,2008,HOT_DRY,2008-11-01,2009-04-30,LA_NINA,-0.643,-0.85,-0.33,6,0,5,Episode_Overlap_>=4_months
2009_RAIN,2009,RAINY,2009-05-01,2009-10-31,TRANSITION_UNCLASSIFIED,0.507,0.01,1.01,6,3,0,Episode_Overlap_>=4_months
2009_2010_HOT_DRY,2009,HOT_DRY,2009-11-01,2010-04-30,EL_NINO,1.138,0.35,1.56,6,5,0,Episode_Overlap_>=4_months
2010_RAIN,2010,RAINY,2010-05-01,2010-10-31,LA_NINA,-1.072,-1.64,-0.17,6,0,5,Episode_Overlap_>=4_months
2010_2011_HOT_DRY,2010,HOT_DRY,2010-11-01,2011-04-30,LA_NINA,-1.158,-1.64,-0.62,6,0,6,Episode_Overlap_>=4_months
2011_RAIN,2011,RAINY,2011-05-01,2011-10-31,TRANSITION_UNCLASSIFIED,-0.598,-0.96,-0.37,6,0,3,Episode_Overlap_>=4_months
2011_2012_HOT_DRY,2011,HOT_DRY,2011-11-01,2012-04-30,LA_NINA,-0.675,-1.02,-0.36,6,0,4,Episode_Overlap_>=4_months
2012_RAIN,2012,RAINY,2012-05-01,2012-10-31,NEUTRAL,0.22,-0.17,0.41,6,0,0,Episode_Overlap_>=4_months
2012_2013_HOT_DRY,2012,HOT_DRY,2012-11-01,2013-04-30,NEUTRAL,-0.158,-0.29,0.13,6,0,0,Episode_Overlap_>=4_months
2013_RAIN,2013,RAINY,2013-05-01,2013-10-31,NEUTRAL,-0.263,-0.35,-0.13,6,0,0,Episode_Overlap_>=4_months
2013_2014_HOT_DRY,2013,HOT_DRY,2013-11-01,2014-04-30,NEUTRAL,-0.14,-0.32,0.15,6,0,0,Episode_Overlap_>=4_months
2014_RAIN,2014,RAINY,2014-05-01,2014-10-31,TRANSITION_UNCLASSIFIED,0.262,0.1,0.54,6,1,0,Episode_Overlap_>=4_months
