station_id,period,n_obs,mean_precip_mm,sen_slope,std_mk_S,std_mk_var_S,std_mk_Z,std_mk_p,primary_method,yw_r1,yw_r1_significant,yw_n_ns_star,yw_var_S_mod,yw_mmk_Z,yw_mmk_p,status
500005,Annual,34,1147.21,-1.09,-17.0,4550.33,-0.237,0.8125,yue_wang_2004,0.4048,True,2.293,10433.95,-0.157,0.8755,VALID
500005,Wet Season,34,909.6,-6.478,-143.0,4550.33,-2.105,0.0353,yue_wang_2004,0.3533,True,2.043,9296.32,-1.473,0.1408,VALID
500005,Dry Season,34,237.61,1.95,89.0,4550.33,1.305,0.192,yue_wang_2004,0.4166,True,2.3564,10722.29,0.85,0.3954,VALID
500006,Annual,34,1203.06,1.354,37.0,4550.33,0.534,0.5936,yue_wang_2004,0.1717,False,1.0,4550.33,0.534,0.5936,VALID
500006,Wet Season,34,932.89,-6.544,-147.0,4550.33,-2.164,0.0304,yue_wang_2004,0.4275,True,2.4167,10996.76,-1.392,0.1638,VALID
500006,Dry Season,34,270.17,5.641,201.0,4550.33,2.965,0.003,yue_wang_2004,0.4595,True,2.6078,11866.54,1.836,0.0664,VALID
500007,Annual,34,1133.56,-2.254,-57.0,4550.33,-0.83,0.4064,yue_wang_2004,0.1531,False,1.0,4550.33,-0.83,0.4064,VALID
500007,Wet Season,34,847.62,-4.405,-111.0,4550.33,-1.631,0.103,yue_wang_2004,0.0713,False,1.0,4550.33,-1.631,0.103,VALID
500007,Dry Season,34,285.94,0.296,16.0,4549.33,0.222,0.824,yue_wang_2004,0.1931,False,1.0,4549.33,0.222,0.824,VALID
500008,Annual,34,1206.31,-0.65,-19.0,4550.33,-0.267,0.7896,yue_wang_2004,0.0177,False,1.0,4550.33,-0.267,0.7896,VALID
500008,Wet Season,34,982.59,-0.387,-14.0,4549.33,-0.193,0.8472,yue_wang_2004,-0.2181,False,1.0,4549.33,-0.193,0.8472,VALID
500008,Dry Season,34,223.73,0.362,31.0,4550.33,0.445,0.6565,yue_wang_2004,0.1693,False,1.0,4550.33,0.445,0.6565,VALID
500009,Annual,34,1176.53,0.583,32.0,4549.33,0.46,0.6458,yue_wang_2004,0.1699,False,1.0,4549.33,0.46,0.6458,VALID
500009,Wet Season,34,963.73,-0.543,-17.0,4550.33,-0.237,0.8125,yue_wang_2004,-0.0035,False,1.0,4550.33,-0.237,0.8125,VALID
500009,Dry Season,34,212.8,1.814,131.0,4548.33,1.928,0.0539,yue_wang_2004,0.2243,False,1.0,4548.33,1.928,0.0539,VALID
500201,Annual,34,1108.24,3.511,43.0,4550.33,0.623,0.5335,yue_wang_2004,0.0542,False,1.0,4550.33,0.623,0.5335,VALID
500201,Wet Season,34,753.45,3.061,61.0,4550.33,0.889,0.3738,yue_wang_2004,-0.1726,False,1.0,4550.33,0.889,0.3738,VALID
500201,Dry Season,34,354.79,0.417,9.0,4550.33,0.119,0.9056,yue_wang_2004,0.1963,False,1.0,4550.33,0.119,0.9056,VALID
500202,Annual,34,944.14,-4.376,-79.0,4550.33,-1.156,0.2476,yue_wang_2004,-0.3619,True,0.48,2184.26,-1.669,0.0951,VALID
500202,Wet Season,34,712.84,-1.22,-25.0,4550.33,-0.356,0.722,yue_wang_2004,-0.363,True,0.4788,2178.69,-0.514,0.6071,VALID
500202,Dry Season,34,231.3,-2.168,-53.0,4550.33,-0.771,0.4408,yue_wang_2004,0.1354,False,1.0,4550.33,-0.771,0.4408,VALID
500301,Annual,34,1064.85,-0.621,-21.0,4550.33,-0.296,0.7669,yue_wang_2004,-0.1054,False,1.0,4550.33,-0.296,0.7669,VALID
500301,Wet Season,34,841.4,0.735,15.0,4550.33,0.208,0.8356,yue_wang_2004,-0.2189,False,1.0,4550.33,0.208,0.8356,VALID
500301,Dry Season,34,223.44,-0.035,-3.0,4550.33,-0.03,0.9763,yue_wang_2004,0.0215,False,1.0,4550.33,-0.03,0.9763,VALID
