scenario,window,index,n,grand_mean,SS_total,SS_model,SS_method,SS_residual,model_share_pct,method_share_pct,residual_share_pct,n_models,n_methods,model_form,definition,interpretation
ssp245,Near,Rx1day,273,5.742,95865.16266353911,78856.75339820614,127.71882304648514,16880.690442286486,82.25798737229717,0.1332275661960161,17.608785061506815,7,3,"GCM main effect + BC-method main effect + residual (INCLUDING the GCM x method interaction). This is a main-effect sum-of-squares partition, NOT a full variance-component analysis.",two-way SS decomposition; shares sum to 100,"method_share_pct is the ADDITIVE MAIN EFFECT of the bias-correction method. The residual term contains the model x method interaction, so a small main effect does not mean the method choice is unimportant for individual models, stations or quantiles."
ssp245,Near,Rx5day,273,6.939,35607.15958802701,26909.638728941423,24.33337229757254,8673.187486788014,75.57367405961202,0.0683384256961476,24.357987514691832,7,3,"GCM main effect + BC-method main effect + residual (INCLUDING the GCM x method interaction). This is a main-effect sum-of-squares partition, NOT a full variance-component analysis.",two-way SS decomposition; shares sum to 100,"method_share_pct is the ADDITIVE MAIN EFFECT of the bias-correction method. The residual term contains the model x method interaction, so a small main effect does not mean the method choice is unimportant for individual models, stations or quantiles."
ssp245,Near,SDII,273,2.352,6145.836550325968,3906.196002623649,96.8794594624284,2142.7610882398917,63.5584101633238,1.5763429220598135,34.86524691461639,7,3,"GCM main effect + BC-method main effect + residual (INCLUDING the GCM x method interaction). This is a main-effect sum-of-squares partition, NOT a full variance-component analysis.",two-way SS decomposition; shares sum to 100,"method_share_pct is the ADDITIVE MAIN EFFECT of the bias-correction method. The residual term contains the model x method interaction, so a small main effect does not mean the method choice is unimportant for individual models, stations or quantiles."
ssp245,Near,q50,273,1.662,6329.580763494521,1606.520842538403,344.40686861520464,4378.653052340914,25.381157181908726,5.441227175764163,69.17761564232711,7,3,"GCM main effect + BC-method main effect + residual (INCLUDING the GCM x method interaction). This is a main-effect sum-of-squares partition, NOT a full variance-component analysis.",two-way SS decomposition; shares sum to 100,"method_share_pct is the ADDITIVE MAIN EFFECT of the bias-correction method. The residual term contains the model x method interaction, so a small main effect does not mean the method choice is unimportant for individual models, stations or quantiles."
ssp245,Near,q90,273,2.974,5940.907687494546,2670.8325232776283,12.5745305915394,3257.500633625378,44.95664069818254,0.2116600905617243,54.83169921125574,7,3,"GCM main effect + BC-method main effect + residual (INCLUDING the GCM x method interaction). This is a main-effect sum-of-squares partition, NOT a full variance-component analysis.",two-way SS decomposition; shares sum to 100,"method_share_pct is the ADDITIVE MAIN EFFECT of the bias-correction method. The residual term contains the model x method interaction, so a small main effect does not mean the method choice is unimportant for individual models, stations or quantiles."
ssp245,Near,q95,273,2.904,14330.005512359448,9665.084023834648,6.199277853058757,4658.72221067174,67.44647805961161,0.0432608197373822,32.51026112065101,7,3,"GCM main effect + BC-method main effect + residual (INCLUDING the GCM x method interaction). This is a main-effect sum-of-squares partition, NOT a full variance-component analysis.",two-way SS decomposition; shares sum to 100,"method_share_pct is the ADDITIVE MAIN EFFECT of the bias-correction method. The residual term contains the model x method interaction, so a small main effect does not mean the method choice is unimportant for individual models, stations or quantiles."
ssp245,Near,q99,273,6.012,46519.83317552363,32844.10625545769,8.74357491371449,13666.98334515222,70.60237325343331,0.0187953703116779,29.378831376255004,7,3,"GCM main effect + BC-method main effect + residual (INCLUDING the GCM x method interaction). This is a main-effect sum-of-squares partition, NOT a full variance-component analysis.",two-way SS decomposition; shares sum to 100,"method_share_pct is the ADDITIVE MAIN EFFECT of the bias-correction method. The residual term contains the model x method interaction, so a small main effect does not mean the method choice is unimportant for individual models, stations or quantiles."
ssp245,Near,wet_day_pct,273,0.814,5072.909562654159,3247.5575114862863,9.904403520012922,1815.44764764786,64.01765045042822,0.1952410820198204,35.78710846755197,7,3,"GCM main effect + BC-method main effect + residual (INCLUDING the GCM x method interaction). This is a main-effect sum-of-squares partition, NOT a full variance-component analysis.",two-way SS decomposition; shares sum to 100,"method_share_pct is the ADDITIVE MAIN EFFECT of the bias-correction method. The residual term contains the model x method interaction, so a small main effect does not mean the method choice is unimportant for individual models, stations or quantiles."
ssp585,Near,CDD,273,5.817,59822.11337389024,35154.35492718728,1.7543867296321602,24666.00405997332,58.76481612655737,0.0029326726033016,41.23225120083932,7,3,"GCM main effect + BC-method main effect + residual (INCLUDING the GCM x method interaction). This is a main-effect sum-of-squares partition, NOT a full variance-component analysis.",two-way SS decomposition; shares sum to 100,"method_share_pct is the ADDITIVE MAIN EFFECT of the bias-correction method. The residual term contains the model x method interaction, so a small main effect does not mean the method choice is unimportant for individual models, stations or quantiles."
ssp585,Near,CWD,273,7.92,50583.74171870943,37358.00340781116,4.5985741047045465,13221.139736793564,73.85377621045684,0.0090910121482841,26.13713277739487,7,3,"GCM main effect + BC-method main effect + residual (INCLUDING the GCM x method interaction). This is a main-effect sum-of-squares partition, NOT a full variance-component analysis.",two-way SS decomposition; shares sum to 100,"method_share_pct is the ADDITIVE MAIN EFFECT of the bias-correction method. The residual term contains the model x method interaction, so a small main effect does not mean the method choice is unimportant for individual models, stations or quantiles."
ssp585,Near,PRCPTOT,273,1.579,24702.43623855552,20636.98820892213,42.11653996378108,4023.331489669608,83.54231950900436,0.1704954910400524,16.287184999955592,7,3,"GCM main effect + BC-method main effect + residual (INCLUDING the GCM x method interaction). This is a main-effect sum-of-squares partition, NOT a full variance-component analysis.",two-way SS decomposition; shares sum to 100,"method_share_pct is the ADDITIVE MAIN EFFECT of the bias-correction method. The residual term contains the model x method interaction, so a small main effect does not mean the method choice is unimportant for individual models, stations or quantiles."
ssp585,Near,PRCPTOT_dry,273,18.695,206036.621340414,160583.2279400368,93.96074185510945,45359.43265852208,77.93916775344563,0.0456039034438772,22.015228343110497,7,3,"GCM main effect + BC-method main effect + residual (INCLUDING the GCM x method interaction). This is a main-effect sum-of-squares partition, NOT a full variance-component analysis.",two-way SS decomposition; shares sum to 100,"method_share_pct is the ADDITIVE MAIN EFFECT of the bias-correction method. The residual term contains the model x method interaction, so a small main effect does not mean the method choice is unimportant for individual models, stations or quantiles."
ssp585,Near,PRCPTOT_wet,273,-3.322,19544.05417554543,15980.83930911804,30.163694277314637,3533.0511721500734,81.76829211369116,0.1543369354504608,18.077370950858377,7,3,"GCM main effect + BC-method main effect + residual (INCLUDING the GCM x method interaction). This is a main-effect sum-of-squares partition, NOT a full variance-component analysis.",two-way SS decomposition; shares sum to 100,"method_share_pct is the ADDITIVE MAIN EFFECT of the bias-correction method. The residual term contains the model x method interaction, so a small main effect does not mean the method choice is unimportant for individual models, stations or quantiles."
ssp585,Near,R10mm,273,2.113,43677.07742115557,33295.07563223288,3.424640644835791,10378.577148277853,76.23009046870425,0.0078408191368065,23.762068712158957,7,3,"GCM main effect + BC-method main effect + residual (INCLUDING the GCM x method interaction). This is a main-effect sum-of-squares partition, NOT a full variance-component analysis.",two-way SS decomposition; shares sum to 100,"method_share_pct is the ADDITIVE MAIN EFFECT of the bias-correction method. The residual term contains the model x method interaction, so a small main effect does not mean the method choice is unimportant for individual models, stations or quantiles."
ssp585,Near,R20mm,273,-1.09,133576.39146794504,56329.84872445169,71.63237626378825,77174.91036722956,42.170512397746144,0.0536265244753061,57.77586107777855,7,3,"GCM main effect + BC-method main effect + residual (INCLUDING the GCM x method interaction). This is a main-effect sum-of-squares partition, NOT a full variance-component analysis.",two-way SS decomposition; shares sum to 100,"method_share_pct is the ADDITIVE MAIN EFFECT of the bias-correction method. The residual term contains the model x method interaction, so a small main effect does not mean the method choice is unimportant for individual models, stations or quantiles."
ssp585,Near,R50mm,214,4.658,1190911.593492207,302895.8946688762,431.3390309786305,887584.3597923521,25.4339529755244,0.0362192318334713,74.52982779264212,7,3,"GCM main effect + BC-method main effect + residual (INCLUDING the GCM x method interaction). This is a main-effect sum-of-squares partition, NOT a full variance-component analysis.",two-way SS decomposition; shares sum to 100,"method_share_pct is the ADDITIVE MAIN EFFECT of the bias-correction method. The residual term contains the model x method interaction, so a small main effect does not mean the method choice is unimportant for individual models, stations or quantiles."
ssp585,Near,R95p,273,0.068,229163.33594263776,183677.3385434192,2275.818506307064,43210.17889291152,80.15127628854022,0.9930988728828454,18.85562483857694,7,3,"GCM main effect + BC-method main effect + residual (INCLUDING the GCM x method interaction). This is a main-effect sum-of-squares partition, NOT a full variance-component analysis.",two-way SS decomposition; shares sum to 100,"method_share_pct is the ADDITIVE MAIN EFFECT of the bias-correction method. The residual term contains the model x method interaction, so a small main effect does not mean the method choice is unimportant for individual models, stations or quantiles."
ssp585,Near,R99p,272,12.704,776721.4163357706,578737.8082158514,1087.2887203413056,196896.3193995779,74.51034515645021,0.1399843878994163,25.34967045565036,7,3,"GCM main effect + BC-method main effect + residual (INCLUDING the GCM x method interaction). This is a main-effect sum-of-squares partition, NOT a full variance-component analysis.",two-way SS decomposition; shares sum to 100,"method_share_pct is the ADDITIVE MAIN EFFECT of the bias-correction method. The residual term contains the model x method interaction, so a small main effect does not mean the method choice is unimportant for individual models, stations or quantiles."
ssp585,Near,Rx1day,273,-0.214,119039.4424393722,89157.06272345588,303.37315622789845,29579.00655968844,74.8970768817775,0.2548509552893856,24.84807216293312,7,3,"GCM main effect + BC-method main effect + residual (INCLUDING the GCM x method interaction). This is a main-effect sum-of-squares partition, NOT a full variance-component analysis.",two-way SS decomposition; shares sum to 100,"method_share_pct is the ADDITIVE MAIN EFFECT of the bias-correction method. The residual term contains the model x method interaction, so a small main effect does not mean the method choice is unimportant for individual models, stations or quantiles."
ssp585,Near,Rx5day,273,5.771,120703.85978898856,89412.63785858604,295.3365675601202,30995.88536284241,74.07603867423539,0.2446786441431285,25.67928268162148,7,3,"GCM main effect + BC-method main effect + residual (INCLUDING the GCM x method interaction). This is a main-effect sum-of-squares partition, NOT a full variance-component analysis.",two-way SS decomposition; shares sum to 100,"method_share_pct is the ADDITIVE MAIN EFFECT of the bias-correction method. The residual term contains the model x method interaction, so a small main effect does not mean the method choice is unimportant for individual models, stations or quantiles."
ssp585,Near,SDII,273,1.16,14085.45486920572,10816.93770696002,36.53630220426443,3231.980860041434,76.79508973905071,0.2593902897956232,22.94551997115366,7,3,"GCM main effect + BC-method main effect + residual (INCLUDING the GCM x method interaction). This is a main-effect sum-of-squares partition, NOT a full variance-component analysis.",two-way SS decomposition; shares sum to 100,"method_share_pct is the ADDITIVE MAIN EFFECT of the bias-correction method. The residual term contains the model x method interaction, so a small main effect does not mean the method choice is unimportant for individual models, stations or quantiles."
ssp585,Near,q50,273,1.749,7084.458521094753,3722.1054029922498,29.970993424587967,3332.382124677916,52.53902456919286,0.4230527052328141,47.037922725574326,7,3,"GCM main effect + BC-method main effect + residual (INCLUDING the GCM x method interaction). This is a main-effect sum-of-squares partition, NOT a full variance-component analysis.",two-way SS decomposition; shares sum to 100,"method_share_pct is the ADDITIVE MAIN EFFECT of the bias-correction method. The residual term contains the model x method interaction, so a small main effect does not mean the method choice is unimportant for individual models, stations or quantiles."
ssp585,Near,q90,273,0.197,17286.03799134611,12542.731969214958,0.4218030918827064,4742.884219039271,72.55990051331722,0.0024401374802824,27.43765934920249,7,3,"GCM main effect + BC-method main effect + residual (INCLUDING the GCM x method interaction). This is a main-effect sum-of-squares partition, NOT a full variance-component analysis.",two-way SS decomposition; shares sum to 100,"method_share_pct is the ADDITIVE MAIN EFFECT of the bias-correction method. The residual term contains the model x method interaction, so a small main effect does not mean the method choice is unimportant for individual models, stations or quantiles."
ssp585,Near,q95,273,0.925,31421.65684001992,22173.37778921796,146.1342396479278,9102.144811154029,70.56718206207711,0.4650749016576529,28.96774303626524,7,3,"GCM main effect + BC-method main effect + residual (INCLUDING the GCM x method interaction). This is a main-effect sum-of-squares partition, NOT a full variance-component analysis.",two-way SS decomposition; shares sum to 100,"method_share_pct is the ADDITIVE MAIN EFFECT of the bias-correction method. The residual term contains the model x method interaction, so a small main effect does not mean the method choice is unimportant for individual models, stations or quantiles."
ssp585,Near,q99,273,3.396,83351.49940741697,57178.94514370239,619.6531780395674,25552.90108567501,68.59977990823566,0.743421752991798,30.656798338772543,7,3,"GCM main effect + BC-method main effect + residual (INCLUDING the GCM x method interaction). This is a main-effect sum-of-squares partition, NOT a full variance-component analysis.",two-way SS decomposition; shares sum to 100,"method_share_pct is the ADDITIVE MAIN EFFECT of the bias-correction method. The residual term contains the model x method interaction, so a small main effect does not mean the method choice is unimportant for individual models, stations or quantiles."
ssp585,Near,wet_day_pct,273,0.074,8811.82506251703,6888.826684617289,0.1827431591710188,1922.8156347405693,78.17707042233938,0.0020738400714325,21.820855737589188,7,3,"GCM main effect + BC-method main effect + residual (INCLUDING the GCM x method interaction). This is a main-effect sum-of-squares partition, NOT a full variance-component analysis.",two-way SS decomposition; shares sum to 100,"method_share_pct is the ADDITIVE MAIN EFFECT of the bias-correction method. The residual term contains the model x method interaction, so a small main effect does not mean the method choice is unimportant for individual models, stations or quantiles."
